Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,1.61,0.97,0.97,0.65,0.00,0.65,1.13,57.1,0.48,0.65,0.00,0.65,0.16,1.77,0.16,0.00,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,1.38,0.62,0.92,0.46,0.00,0.62,1.23,50.0,0.62,1.08,0.92,0.15,1.23,2.62,3.69,0.00,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,3.45,2.41,1.03,2.07,0.34,1.38,2.41,57.1,1.03,0.69,0.34,0.34,1.03,4.48,0.34,0.00,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,1.37,0.68,0.55,0.41,0.41,0.82,1.51,54.5,0.68,1.10,0.41,0.68,0.68,2.05,1.37,0.00,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,0.64,0.38,0.03,0.29,0.32,0.26,0.61,42.1,0.35,0.58,0.06,0.51,0.16,0.80,1.53,0.00,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,3.20,1.44,1.55,1.44,0.22,1.60,3.26,49.2,1.66,1.60,0.72,0.88,0.99,4.20,1.44,0.00,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,7.50,3.75,6.25,1.25,0.00,5.00,6.25,80.0,1.25,0.00,0.00,0.00,1.25,8.75,2.50,0.00,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,1.57,1.19,0.49,0.76,0.32,0.70,1.68,41.9,0.97,1.08,0.43,0.65,1.41,2.97,2.49,0.11,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,2.50,2.50,1.25,1.25,0.00,2.50,6.25,40.0,3.75,0.00,0.00,0.00,2.50,5.00,2.50,0.00,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,1.16,0.72,0.62,0.48,0.07,0.75,1.61,46.8,0.86,0.72,0.31,0.41,1.10,2.26,2.91,0.00,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,0.50,0.18,0.18,0.23,0.09,0.26,0.73,36.0,0.47,0.32,0.09,0.23,0.23,0.73,0.70,0.00,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,1.99,1.03,0.77,0.96,0.26,1.03,2.18,47.1,1.15,1.22,0.00,1.22,0.45,2.44,0.45,0.00,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,2.06,1.18,0.98,0.78,0.29,1.18,2.45,48.0,1.27,1.08,0.39,0.69,1.18,3.24,1.67,0.00,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,2.23,1.47,1.47,0.54,0.22,1.36,2.12,64.1,0.76,0.98,0.05,0.92,1.03,3.26,1.03,0.00,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,2.38,1.18,1.18,0.80,0.40,1.15,2.32,49.3,1.18,0.93,0.12,0.80,2.04,4.43,2.48,0.00,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,0.91,0.73,0.55,0.36,0.00,0.18,1.45,12.5,1.27,1.45,0.18,1.27,0.55,1.45,0.91,0.00,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,2.48,1.40,1.02,1.15,0.32,1.15,3.12,36.7,1.97,1.46,0.64,0.83,2.48,4.97,1.91,0.00,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,2.02,1.55,1.24,0.47,0.31,1.16,2.02,57.7,0.85,1.47,0.47,1.01,1.78,3.80,2.17,0.00,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,0.98,0.49,0.98,0.00,0.00,0.73,0.98,75.0,0.24,0.73,0.49,0.24,1.22,2.20,7.56,0.00,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,2.07,1.03,1.38,0.34,0.34,0.69,1.03,66.7,0.34,1.38,0.00,1.38,0.00,2.07,0.00,0.00,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,0.93,0.19,0.00,0.56,0.37,0.19,1.11,16.7,0.93,0.56,0.19,0.37,0.56,1.48,0.00,0.00,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,2.63,1.32,1.45,0.92,0.26,0.79,2.89,27.3,2.11,0.79,0.39,0.39,1.05,3.68,1.71,0.00,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,3.75,1.88,2.50,0.63,0.63,0.63,3.75,16.7,3.13,1.88,0.00,1.88,0.63,4.38,2.50,0.00,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.0,0.03,0.00,0.00,0.00,0.03,0.06,0.44,0.03,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,0.89,0.49,0.63,0.20,0.06,0.54,0.89,61.3,0.34,1.51,1.23,0.29,1.00,1.89,4.11,0.11,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,1.03,0.52,0.17,0.86,0.00,0.17,1.21,14.3,1.03,1.03,0.00,1.03,0.17,1.21,0.34,0.17,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,6.00,6.00,6.00,0.00,0.00,2.00,2.00,100.0,0.00,0.00,0.00,0.00,0.00,6.00,2.00,0.00,Matches,3c48a088
