Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,0.25,1.72,0.41,23.8,1.72,0.41,0.14,0.60,14.1,0.08,0.00,0.00,0.21,0.21,0.12,0.03,0.03,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,0.00,1.50,0.30,20.0,1.50,0.30,0.00,0.00,21.4,0.00,0.00,0.00,0.09,0.09,0.06,-0.09,-0.09,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,0.00,0.85,0.08,9.1,0.85,0.08,0.00,0.00,17.3,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,0.00,3.10,1.03,33.3,3.10,1.03,0.00,0.00,17.1,0.00,0.00,0.00,0.38,0.38,0.12,-0.38,-0.38,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,0.04,0.20,0.04,20.0,0.20,0.04,0.20,1.00,8.7,0.00,0.00,0.00,0.04,0.04,0.19,0.00,0.00,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,0.88,4.12,2.94,71.4,4.10,2.93,0.21,0.30,12.6,0.00,0.00,0.00,0.91,0.91,0.22,-0.03,-0.03,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,0.15,0.98,0.39,40.0,0.97,0.39,0.15,0.38,16.2,0.00,0.00,0.00,0.13,0.13,0.13,0.01,0.01,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,0.17,2.65,0.85,32.3,2.65,0.86,0.03,0.10,20.0,0.17,0.09,0.09,0.23,0.17,0.06,-0.06,-0.09,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,0.42,2.91,1.21,41.7,2.91,1.21,0.13,0.30,15.8,0.00,0.06,0.06,0.28,0.27,0.09,0.14,0.09,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,0.00,1.67,0.83,50.0,1.67,0.83,0.00,0.00,22.0,0.00,0.00,0.00,0.08,0.08,0.05,-0.08,-0.08,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,0.07,1.62,0.34,21.3,1.62,0.34,0.02,0.10,21.1,0.00,0.03,0.07,0.16,0.10,0.06,-0.09,-0.07,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,0.19,2.29,0.81,35.4,2.28,0.81,0.06,0.18,21.6,0.00,0.05,0.05,0.19,0.15,0.06,0.00,-0.00,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,0.23,0.91,0.23,25.0,0.90,0.23,0.25,1.00,18.6,0.00,0.00,0.00,0.09,0.09,0.10,0.14,0.14,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,0.00,1.25,0.00,0.0,1.30,0.00,0.00,,34.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,0.00,2.00,0.67,33.3,1.97,0.66,0.00,0.00,12.8,0.00,0.00,0.00,0.20,0.20,0.09,-0.20,-0.20,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,0.18,2.51,0.60,23.8,2.52,0.60,0.07,0.30,19.8,0.00,0.00,0.00,0.16,0.16,0.06,0.02,0.02,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,0.00,0.10,0.00,0.0,0.10,0.00,0.00,,28.9,0.10,0.00,0.00,0.01,0.01,0.09,-0.01,-0.01,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,0.00,0.73,0.00,0.0,0.73,0.00,0.00,,29.5,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,0.00,0.71,0.10,14.3,0.72,0.10,0.00,0.00,22.2,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,0.09,0.28,0.09,33.3,0.27,0.09,0.33,1.00,,,0.00,0.00,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,0.10,0.30,0.15,50.0,0.30,0.15,0.33,0.67,13.8,0.00,0.00,0.00,0.04,0.04,0.12,0.07,0.07,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,0.11,2.42,0.70,28.9,2.42,0.70,0.04,0.15,26.2,0.27,0.00,0.00,0.08,0.08,0.03,0.03,0.03,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,0.00,1.18,0.53,44.4,1.18,0.52,0.00,0.00,24.3,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,0.16,1.70,0.77,45.2,1.70,0.77,0.07,0.16,19.3,0.20,0.04,0.08,0.28,0.21,0.12,-0.11,-0.09,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,0.00,0.58,0.08,13.3,0.58,0.08,0.00,0.00,27.1,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,0.09,0.83,0.28,33.3,0.84,0.28,0.11,0.33,24.4,0.00,0.00,0.00,0.03,0.03,0.04,0.06,0.06,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,0.10,2.58,0.77,30.0,2.58,0.77,0.04,0.13,15.9,0.00,0.00,0.00,0.22,0.22,0.08,-0.11,-0.11,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,0.00,0.38,0.13,33.3,0.38,0.13,0.00,0.00,12.9,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,0.00,3.33,0.00,0.0,3.46,0.00,0.00,,34.4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,0.00,0.61,0.22,36.4,0.61,0.22,0.00,0.00,25.0,0.22,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,0.53,3.20,0.93,29.2,3.21,0.94,0.17,0.57,14.9,0.00,0.00,0.00,0.43,0.43,0.13,0.11,0.11,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,0.71,5.71,1.43,25.0,5.58,1.40,0.13,0.50,18.7,0.71,0.00,0.00,0.36,0.36,0.06,0.36,0.36,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,0.15,1.13,0.22,19.4,1.13,0.22,0.10,0.50,25.5,0.00,0.04,0.07,0.12,0.07,0.06,0.03,0.04,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,0.00,0.46,0.04,9.1,0.46,0.04,0.00,0.00,26.5,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,0.24,1.93,0.60,31.3,1.93,0.60,0.13,0.40,24.5,0.48,0.00,0.00,0.12,0.12,0.06,0.12,0.12,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,0.03,0.58,0.18,31.6,0.58,0.18,0.05,0.17,10.6,0.00,0.00,0.00,0.05,0.05,0.09,-0.02,-0.02,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,0.00,0.91,0.00,0.0,0.89,0.00,0.00,,30.2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,0.12,1.19,0.48,40.0,1.19,0.48,0.10,0.25,21.8,0.00,0.00,0.00,0.08,0.08,0.07,0.04,0.04,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,0.23,3.72,1.28,34.4,3.72,1.28,0.06,0.18,17.0,0.00,0.00,0.00,0.29,0.29,0.08,-0.06,-0.06,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,0.00,2.09,0.15,7.1,2.09,0.15,0.00,0.00,26.2,0.00,0.00,0.00,0.07,0.07,0.04,-0.07,-0.07,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,0.00,0.94,0.00,0.0,0.92,0.00,0.00,,20.2,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,0.47,2.53,1.27,50.0,2.54,1.27,0.18,0.37,16.7,0.00,0.00,0.07,0.37,0.32,0.13,0.10,0.15,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,0.13,2.66,0.89,33.3,2.66,0.89,0.05,0.14,13.9,0.13,0.00,0.00,0.28,0.28,0.10,-0.15,-0.15,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,0.43,1.90,0.82,42.9,1.90,0.81,0.17,0.40,12.7,0.05,0.11,0.11,0.39,0.33,0.17,0.05,0.00,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,0.18,0.73,0.18,25.0,0.73,0.18,0.10,0.40,24.4,0.22,0.11,0.11,0.14,0.05,0.08,0.04,0.02,Matches,23593121
