Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,73.8,3.75,43.8,31.3,0.00,0.00,73.8,1.25,0.00,0.0,1.25,100.0,41.3,182.5,82.5,0.00,0.00,0.00,0.00,0.00,45.0,0.00,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,63.4,2.55,11.7,41.5,10.5,0.82,63.4,0.71,0.51,71.4,0.20,28.6,33.5,165.9,88.7,1.22,1.02,0.00,0.82,0.82,43.0,1.22,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,,,,,,,,,,,,,,,,,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,41.5,6.82,19.8,20.7,1.26,0.40,41.5,0.05,0.05,100.0,0.00,0.0,20.7,118.3,76.0,0.56,0.20,0.00,0.56,0.00,22.7,0.15,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,65.2,0.75,5.11,39.2,21.9,0.81,65.2,3.12,1.29,41.4,1.56,50.0,43.1,277.6,124.4,3.60,2.69,0.32,1.83,1.24,46.1,3.39,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,46.8,3.29,14.1,24.6,9.08,0.39,46.8,1.71,1.32,76.9,0.39,23.1,19.6,89.7,38.7,0.39,0.79,0.00,1.97,0.92,23.7,1.84,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,28.2,23.9,28.0,0.26,0.00,0.00,28.2,0.00,0.00,,0.00,,13.2,76.1,53.5,0.00,0.00,0.00,0.06,0.00,8.30,0.00,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,68.3,0.57,5.95,33.2,29.9,2.43,68.2,1.38,0.69,50.0,0.57,41.2,41.3,171.0,87.9,1.94,1.74,0.36,1.86,1.54,48.7,6.80,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,59.5,2.18,13.3,40.9,6.42,0.19,59.5,1.87,1.05,56.3,0.74,39.6,36.1,221.8,127.7,1.83,1.44,0.08,1.05,0.58,36.4,0.47,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,60.6,1.39,7.78,40.9,12.6,1.11,60.6,2.04,0.93,45.5,0.93,45.5,34.8,209.2,104.7,2.50,2.50,0.28,1.67,0.83,40.1,2.87,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,55.0,10.0,25.0,25.0,5.00,5.00,55.0,0.00,0.00,,0.00,,25.0,200.0,70.0,0.00,0.00,0.00,0.00,0.00,30.0,0.00,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,38.5,1.49,6.34,15.4,16.9,4.85,38.5,2.73,1.03,37.7,1.49,54.7,24.4,154.2,80.9,3.09,0.93,1.44,1.49,0.98,26.3,7.06,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,72.4,8.35,35.1,35.7,1.77,0.89,72.4,0.76,0.38,50.0,0.13,16.7,46.5,258.6,163.9,1.39,0.89,0.00,0.25,0.38,46.2,0.38,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,37.5,0.00,7.50,12.5,17.5,2.50,37.5,2.50,0.00,0.0,2.50,100.0,25.0,105.0,22.5,0.00,0.00,0.00,7.50,0.00,22.5,7.50,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,100.0,3.33,30.0,56.7,13.3,3.33,100.0,0.00,0.00,,0.00,,63.3,593.3,473.3,6.67,6.67,0.00,0.00,0.00,73.3,3.33,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,61.9,9.61,39.0,21.3,2.65,0.72,61.9,0.83,0.55,66.7,0.28,33.3,33.8,186.1,118.3,0.61,0.33,0.00,0.55,0.17,36.6,0.22,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,45.9,1.47,5.20,19.2,22.3,6.00,45.9,3.73,2.13,57.1,1.47,39.3,27.7,169.7,75.5,2.00,1.87,0.80,2.27,1.47,30.4,7.47,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,47.1,2.14,4.29,19.3,24.3,5.71,47.1,2.86,2.14,75.0,0.71,25.0,25.7,88.6,41.4,1.43,2.14,0.00,3.57,0.71,36.4,10.0,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,75.4,2.76,15.7,44.4,15.9,1.05,75.3,0.40,0.33,81.8,0.07,18.2,48.2,250.1,122.4,2.00,1.93,0.04,0.84,0.33,57.1,2.62,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,28.0,22.8,27.9,0.10,0.00,0.00,28.0,0.00,0.00,,0.00,,12.2,60.2,32.7,0.00,0.00,0.00,0.00,0.00,9.62,0.00,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,32.0,0.00,2.00,22.0,8.00,2.00,32.0,2.00,0.00,0.0,2.00,100.0,24.0,108.0,48.0,2.00,0.00,0.00,2.00,4.00,24.0,8.00,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,70.5,2.35,14.7,47.3,9.16,0.34,70.5,0.42,0.17,40.0,0.25,60.0,40.2,173.9,89.6,1.18,1.26,0.08,0.55,0.42,46.7,0.88,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,31.8,26.4,31.5,0.23,0.00,0.00,31.8,0.00,0.00,,0.00,,15.5,100.5,67.8,0.00,0.00,0.00,0.00,0.00,10.0,0.00,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,65.8,2.29,11.1,39.4,15.7,1.20,65.8,2.17,0.96,44.4,0.96,44.4,37.2,159.3,63.6,0.84,1.81,0.24,1.57,1.08,44.8,2.05,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,57.0,8.97,28.8,26.9,1.52,1.03,57.0,0.24,0.18,75.0,0.00,0.0,33.1,145.9,78.2,0.24,0.18,0.03,0.27,0.12,37.4,0.21,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,65.5,1.82,12.7,40.9,11.8,0.91,65.5,3.64,0.91,25.0,2.73,75.0,32.7,148.2,71.8,0.91,0.00,0.00,0.00,1.82,43.6,1.82,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,35.4,0.95,4.52,17.9,13.9,1.67,35.4,2.14,1.31,61.1,0.71,33.3,21.3,137.9,55.1,1.67,1.43,0.36,1.55,1.31,20.7,2.98,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,33.0,2.09,5.23,13.3,15.1,6.63,33.0,2.33,0.47,20.0,1.74,75.0,17.0,103.3,40.3,1.51,1.28,0.70,3.84,1.16,22.1,4.65,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,54.5,0.75,7.91,30.6,16.4,1.04,54.5,1.79,0.60,33.3,1.04,58.3,33.4,188.4,100.3,2.54,1.04,0.15,2.39,1.04,33.3,3.13,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,60.9,1.88,10.6,28.4,22.2,2.81,60.9,4.06,2.19,53.8,1.88,46.2,31.9,158.1,73.4,2.81,1.88,0.94,2.19,1.25,40.0,5.63,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,35.7,1.33,4.33,15.8,16.1,3.60,35.7,2.87,1.60,55.8,1.00,34.9,18.4,111.0,50.5,1.47,0.93,0.53,2.60,1.13,23.7,4.73,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,50.4,0.89,6.96,25.3,18.4,3.67,50.4,1.14,0.38,33.3,0.63,55.6,28.9,139.0,46.1,0.89,1.01,0.38,2.15,0.51,38.1,4.68,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,25.4,0.76,1.96,12.4,11.1,3.59,25.3,0.27,0.05,20.0,0.22,80.0,12.2,51.2,18.3,0.76,0.54,0.27,1.09,1.09,18.8,3.48,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,82.5,1.24,11.3,45.2,26.7,1.20,82.4,1.82,1.24,68.0,0.51,28.0,51.1,178.5,85.1,1.02,1.85,0.04,1.09,1.31,67.9,4.04,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,76.4,1.82,23.6,31.8,20.9,3.64,76.4,0.00,0.00,,0.00,,44.5,216.4,136.4,1.82,0.91,0.00,0.91,0.91,56.4,8.18,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,54.2,2.58,12.6,32.3,10.3,0.00,54.2,1.94,1.29,66.7,0.65,33.3,27.4,159.4,61.6,0.97,1.29,0.00,2.90,2.58,30.3,0.65,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,57.5,5.81,26.2,29.7,1.99,0.88,57.5,0.07,0.00,0.0,0.00,0.0,35.3,189.6,114.2,0.66,0.29,0.00,0.44,0.15,37.9,0.22,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,52.5,2.50,15.0,7.50,30.0,7.50,52.5,0.00,0.00,,0.00,,20.0,197.5,110.0,5.00,0.00,0.00,2.50,0.00,22.5,5.00,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,52.6,1.37,7.97,25.1,20.0,1.76,52.6,0.57,0.40,69.2,0.18,30.8,25.3,119.4,50.3,0.66,1.10,0.09,1.45,0.93,32.4,3.88,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,51.4,10.3,28.2,20.7,2.83,1.03,51.4,0.34,0.14,40.0,0.21,60.0,28.6,147.6,106.0,0.90,0.62,0.00,0.21,0.00,33.1,0.21,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,20.0,0.00,0.00,20.0,0.00,0.00,20.0,0.00,0.00,,0.00,,20.0,30.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,54.6,0.98,9.34,33.1,12.5,0.98,54.6,0.66,0.33,50.0,0.33,50.0,32.5,132.3,65.2,0.98,0.98,0.33,0.98,0.49,37.0,2.30,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,62.2,7.22,32.6,27.9,1.94,1.28,62.2,0.18,0.04,25.0,0.13,75.0,34.4,138.3,61.4,0.04,0.18,0.04,0.18,0.18,42.1,0.04,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,45.5,0.91,4.55,22.7,18.2,3.33,45.5,4.55,1.52,33.3,2.12,46.7,27.6,169.4,61.2,2.12,2.12,0.61,4.55,1.82,33.0,7.27,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,60.0,0.00,0.00,22.5,37.5,2.50,60.0,5.00,0.00,0.0,5.00,100.0,40.0,255.0,130.0,7.50,5.00,0.00,7.50,0.00,42.5,17.5,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,26.8,24.2,26.8,0.00,0.00,0.00,26.8,0.20,0.20,100.0,0.00,0.0,12.0,61.0,45.0,0.00,0.00,0.00,0.00,0.00,8.40,0.00,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,84.0,9.00,37.0,47.0,0.00,0.00,84.0,0.00,0.00,,0.00,,59.0,268.0,172.0,1.00,0.00,0.00,0.00,0.00,68.0,0.00,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,54.0,1.45,9.70,30.7,14.2,1.14,54.0,2.41,1.20,50.0,1.02,42.5,33.1,210.0,108.4,2.53,2.17,0.18,1.75,1.45,36.2,2.23,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,52.6,0.96,6.99,27.1,19.0,2.36,52.6,1.70,0.74,43.6,0.87,51.3,32.5,145.3,67.7,1.44,1.35,0.17,1.18,0.87,38.2,5.24,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,79.2,4.62,17.7,50.8,10.8,1.54,79.2,2.31,0.77,33.3,0.77,33.3,44.6,220.8,166.2,5.38,1.54,1.54,0.00,0.77,48.5,3.85,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,62.7,2.01,11.1,35.8,16.8,1.05,62.7,1.77,1.15,64.9,0.57,32.4,37.4,186.2,92.4,1.44,1.82,0.29,1.39,1.15,41.7,2.20,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,59.1,7.30,30.2,25.8,3.33,1.37,59.0,0.13,0.10,75.0,0.00,0.0,31.5,153.4,84.5,0.30,0.30,0.00,0.33,0.07,36.2,0.43,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,34.1,0.76,4.10,12.4,17.9,5.24,34.0,1.90,0.48,25.0,1.05,55.0,20.3,81.9,36.0,0.67,1.24,0.19,2.86,1.43,23.9,7.71,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,46.7,0.93,5.37,19.3,22.2,3.52,46.3,2.59,0.74,28.6,1.85,71.4,25.6,134.3,54.1,2.78,0.93,0.56,2.04,1.30,33.5,10.9,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,86.7,0.00,10.0,23.3,53.3,3.33,86.7,3.33,0.00,0.0,3.33,100.0,66.7,243.3,196.7,0.00,6.67,0.00,3.33,3.33,56.7,13.3,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,42.2,1.56,3.11,19.6,19.6,3.56,42.2,1.11,0.44,40.0,0.67,60.0,24.2,98.0,34.0,1.33,1.33,0.44,1.56,0.44,31.6,8.22,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,64.1,1.70,15.8,25.8,23.4,0.57,64.1,3.18,1.14,35.7,1.70,53.6,34.9,206.8,95.7,2.05,2.27,0.11,1.14,0.80,36.9,3.75,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,47.1,0.71,4.10,20.7,22.9,3.85,47.1,2.65,1.02,38.7,1.41,53.3,30.9,194.8,85.7,2.47,1.98,1.20,2.47,0.92,38.5,8.06,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,38.1,1.04,2.29,19.6,16.7,5.42,38.1,2.29,1.46,63.6,0.63,27.3,21.0,89.8,37.9,1.25,1.46,0.21,4.38,3.33,30.0,5.42,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,73.0,1.83,15.4,34.3,24.0,0.97,73.0,0.81,0.43,53.3,0.32,40.0,36.7,165.8,81.0,1.83,0.91,0.22,0.70,0.54,41.5,4.46,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,52.0,0.31,5.00,24.7,22.5,2.34,52.0,1.09,0.63,57.1,0.47,42.9,34.2,201.7,117.2,2.19,2.19,0.47,1.09,0.16,40.3,7.81,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,70.0,3.33,16.7,43.3,10.0,0.00,70.0,0.00,0.00,,0.00,,36.7,360.0,170.0,3.33,3.33,0.00,3.33,0.00,36.7,3.33,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,57.9,0.93,5.12,28.1,24.9,1.40,57.9,5.35,3.26,60.9,1.86,34.8,37.0,234.4,129.5,4.19,2.33,0.70,3.26,2.09,41.2,7.44,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,55.0,12.5,29.2,23.8,2.92,2.50,55.0,0.42,0.42,100.0,0.00,0.0,18.3,120.8,86.3,1.25,0.00,0.00,0.42,0.42,25.4,0.00,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,65.5,7.27,30.9,31.8,2.73,0.91,65.5,0.91,0.91,100.0,0.00,0.0,39.1,310.0,260.0,0.91,0.91,0.00,0.91,0.00,47.3,0.00,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,44.7,8.40,27.6,15.9,1.34,0.76,44.7,0.08,0.00,0.0,0.08,100.0,21.8,111.0,75.5,0.17,0.34,0.00,0.08,0.00,25.6,0.00,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,55.3,3.66,15.9,21.0,19.1,1.90,55.3,3.59,1.70,47.3,1.76,49.1,30.5,213.3,117.1,3.53,1.76,0.65,2.09,0.26,32.2,8.56,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,56.8,2.05,15.5,29.8,11.8,0.68,56.8,0.45,0.23,50.0,0.23,50.0,24.1,132.5,60.9,1.59,0.68,0.23,0.68,0.23,28.9,2.73,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,56.5,5.43,25.4,29.7,1.73,1.18,56.5,0.08,0.00,0.0,0.08,100.0,34.8,146.4,66.4,0.08,0.00,0.00,0.24,0.00,36.9,0.08,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,52.4,1.63,7.21,23.1,22.9,2.58,52.3,3.05,1.79,58.6,1.11,36.2,34.5,242.5,119.5,3.68,3.42,0.63,2.47,1.21,35.2,7.89,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,56.5,8.88,29.4,25.5,1.96,0.73,56.5,0.11,0.00,0.0,0.11,100.0,34.3,180.9,103.1,0.89,0.22,0.00,0.22,0.00,38.8,0.28,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,63.1,3.46,20.4,25.4,18.3,1.03,63.1,2.99,1.50,50.0,1.31,43.8,33.3,237.7,146.0,2.24,1.87,0.28,2.06,0.75,35.6,4.11,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,44.7,1.32,3.97,15.4,26.3,6.32,44.7,2.79,1.18,42.1,1.62,57.9,29.7,195.9,118.4,4.71,2.50,0.88,2.79,0.74,33.8,11.3,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,20.0,0.00,0.00,6.67,13.3,6.67,20.0,3.33,0.00,0.0,3.33,100.0,16.7,106.7,60.0,6.67,0.00,6.67,0.00,0.00,16.7,0.00,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,64.7,13.4,38.2,24.5,2.37,1.58,64.7,0.00,0.00,,0.00,,35.8,157.4,89.7,0.53,0.26,0.00,0.26,0.00,43.7,0.26,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,47.6,0.69,5.86,21.0,22.8,0.69,47.6,2.41,1.03,42.9,1.38,57.1,31.7,277.2,120.0,2.76,3.10,0.00,3.45,2.41,34.5,8.62,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,48.5,0.77,6.84,19.7,22.1,4.44,48.5,4.10,2.14,52.1,1.97,47.9,28.2,150.8,72.6,2.65,0.51,1.03,3.33,2.99,33.0,8.72,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,50.1,2.40,16.0,18.6,16.6,1.56,50.1,5.03,2.81,56.0,2.10,41.7,28.0,196.4,115.6,3.29,2.10,0.60,1.86,1.38,27.5,6.83,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,54.9,10.1,28.6,25.0,1.52,0.66,54.9,0.08,0.00,0.0,0.08,100.0,27.2,140.9,84.3,0.47,0.35,0.00,0.35,0.04,31.4,0.08,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,42.5,0.85,5.48,13.8,24.2,5.08,42.4,3.16,1.47,46.4,1.07,33.9,28.5,257.6,142.0,4.86,3.67,1.47,2.26,1.19,31.8,9.89,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,48.8,1.32,9.47,28.0,12.1,1.12,48.8,1.91,1.32,69.0,0.39,20.7,28.1,157.3,71.8,1.18,1.38,0.13,1.64,1.05,30.5,2.63,Matches,eadc7b45
292,Nicolás Hernández,co COL,DF,Atl Paranaense,24,1998,18.0,47.6,6.06,23.3,23.8,0.94,0.28,47.6,0.17,0.06,33.3,0.11,66.7,27.6,162.4,113.5,0.89,0.17,0.06,0.22,0.00,29.4,0.11,Matches,86046c18
293,Hugo,br BRA,DFMF,Goiás,24,1997,7.8,58.5,4.87,21.4,26.5,11.2,1.41,58.5,0.26,0.00,0.0,0.13,50.0,22.7,129.4,77.2,1.41,0.51,0.26,2.18,0.13,27.1,4.23,Matches,bd2593f3
294,Hugo,br BRA,DFMF,Botafogo (RJ),20,2001,12.2,62.6,2.30,15.9,30.1,16.9,1.31,62.6,2.13,0.90,42.3,1.23,57.7,28.4,166.2,107.3,3.28,1.48,0.57,1.80,0.41,30.7,4.02,Matches,de3dc682
295,José Hugo,br BRA,FWMF,Coritiba,22,1999,4.4,41.1,0.91,8.41,16.1,18.0,3.64,41.1,4.09,1.14,27.8,2.50,61.1,26.6,198.4,98.6,3.64,1.14,1.14,6.14,2.27,27.3,7.95,Matches,d0f01217
296,Victor Hugo,br BRA,MF,Flamengo,17,2004,13.9,48.1,1.87,8.63,26.6,13.5,2.16,48.1,2.59,1.44,55.6,0.86,33.3,31.0,190.6,97.6,2.37,1.80,0.29,1.80,1.29,35.2,3.88,Matches,33fca7f7
297,Vitor Hugo,br BRA,FW,Goiás,17,2004,0.0,3,0,0,0,3,0,3,0,0,,0,,3,10,2,0,0,0,0,0,3,1,Matches,217f53a6
298,Hulk,br BRA,FW,Atlético Mineiro,35,1986,23.2,39.9,0.65,1.03,14.9,24.7,5.22,39.8,3.79,2.03,53.4,1.64,43.2,27.0,163.0,81.6,3.19,1.98,1.59,3.75,2.72,33.1,9.70,Matches,33a1f72e
299,José Hurtado,ec ECU,DF,Bragantino,20,2001,6.6,64.1,3.48,15.6,28.2,20.8,0.91,64.1,2.12,1.21,57.1,0.91,42.9,33.5,243.6,125.3,4.09,3.03,0.30,1.52,0.30,32.9,7.12,Matches,cb067e96
300,Hyoran,br BRA,MF,Bragantino,28,1993,14.2,44.6,0.70,3.80,18.5,23.0,3.03,44.6,1.62,0.42,26.1,1.06,65.2,28.2,182.3,85.1,3.38,2.75,0.56,2.46,1.41,29.3,7.46,Matches,ffb88c28
301,Igor,br BRA,MFFW,Flamengo,18,2003,0.3,36.7,6.67,10.0,23.3,3.33,0.00,36.7,0.00,0.00,,0.00,,13.3,110.0,6.67,0.00,0.00,0.00,3.33,0.00,16.7,0.00,Matches,fb19d550
302,André Inácio,br BRA,FW,Flamengo,19,2002,0.5,42.0,0.00,0.00,12.0,32.0,8.00,42.0,6.00,2.00,33.3,4.00,66.7,20.0,116.0,60.0,4.00,2.00,0.00,2.00,2.00,24.0,8.00,Matches,cc77d69c
303,Mauricio Isla,cl CHI,DF,Flamengo,33,1988,3.8,56.6,1.58,13.2,23.7,20.3,1.58,56.6,0.53,0.53,100.0,0.00,0.0,31.8,112.6,57.4,1.32,0.53,0.53,1.05,0.26,35.8,9.47,Matches,de4517dd
304,Jadsom,br BRA,MF,Bragantino,20,2001,14.1,62.1,3.33,16.6,39.6,6.45,0.07,62.1,1.42,0.85,60.0,0.50,35.0,39.7,183.5,78.0,0.21,0.78,0.00,1.06,0.57,39.1,0.57,Matches,92859e80
305,Jadson,br BRA,MF,Juventude,28,1993,29.1,54.3,1.24,12.3,32.1,10.4,0.55,54.3,1.27,0.79,62.2,0.41,32.4,33.5,132.2,61.3,0.76,0.96,0.10,1.17,0.76,37.9,2.99,Matches,05748af4
306,Jailson,br BRA,GK,América (MG),40,1981,12.0,28.5,23.2,28.4,0.08,0.00,0.00,28.5,0.00,0.00,,0.00,,14.4,88.1,67.3,0.00,0.00,0.00,0.00,0.08,8.67,0.00,Matches,01f7b8c3
307,Jair,br BRA,MF,Atlético Mineiro,27,1994,23.0,58.2,1.00,8.13,35.4,15.2,2.13,58.2,1.17,0.65,55.6,0.39,33.3,31.7,141.5,72.7,1.04,1.61,0.17,1.39,1.04,40.0,2.96,Matches,f3466edc
308,Jandrei,br BRA,GK,São Paulo,28,1993,18.3,39.5,29.4,38.5,0.98,0.00,0.00,39.5,0.00,0.00,,0.00,,26.6,134.7,89.1,0.00,0.00,0.00,0.00,0.00,20.6,0.00,Matches,85ea4399
309,Vinícius Jaú,br BRA,MF,Avaí,23,1998,0.1,70.0,0.00,0.00,20.0,50.0,10.0,70.0,30.0,10.0,33.3,20.0,66.7,40.0,260.0,150.0,10.0,0.00,0.00,0.00,0.00,40.0,0.00,Matches,192d3898
310,Pablo Javier García,uy URU,FW,Coritiba,22,1999,0.1,10.0,0.00,10.0,10.0,0.00,0.00,10.0,0.00,0.00,,0.00,,10.0,360.0,360.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,895321cd
311,Jean,br BRA,MF,Juventude,27,1994,13.1,46.0,4.73,18.7,22.1,5.73,0.69,46.0,0.31,0.23,75.0,0.00,0.0,17.8,68.4,32.5,0.31,0.84,0.08,1.15,0.46,18.9,0.31,Matches,69a34ec0
312,Jefferson,br BRA,DF,Atl Goianiense,25,1997,25.3,69.1,3.91,25.6,30.7,13.8,0.79,69.1,0.91,0.43,47.8,0.47,52.2,37.2,170.0,99.2,2.06,1.11,0.08,1.03,0.32,42.8,4.03,Matches,9df5f945
313,Jefferson,br BRA,FW,Botafogo (RJ),22,1999,17.8,47.5,0.39,4.89,20.2,23.8,3.54,47.5,7.98,4.16,52.1,3.37,42.3,32.0,233.1,127.7,4.44,3.26,1.69,3.76,1.69,32.4,7.25,Matches,45cce300
314,Jemerson,br BRA,DF,Atlético Mineiro,29,1992,11.1,59.7,5.23,29.2,30.1,0.81,0.27,59.7,0.00,0.00,,0.00,,35.3,196.7,98.7,0.72,0.27,0.00,0.45,0.00,40.2,0.09,Matches,7cab69b5
315,Jenison,br BRA,FW,Cuiabá,30,1991,3.6,34.7,1.39,3.06,17.2,14.4,3.06,34.7,0.56,0.28,50.0,0.28,50.0,17.2,93.9,28.3,1.11,0.28,0.00,4.17,1.39,25.3,3.89,Matches,767e6b7f
316,Alexandre Jesus,br BRA,MFDF,Fluminense,20,2001,0.7,71.4,1.43,10.0,21.4,42.9,10.0,71.4,8.57,1.43,16.7,7.14,83.3,41.4,405.7,265.7,10.0,4.29,5.71,1.43,2.86,37.1,15.7,Matches,25a323f3
