Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,35.8,28.9,35.6,0.12,0.00,0.00,35.8,0.00,0.00,,0.00,,20.2,99.6,55.1,0.00,0.00,0.00,0.12,0.00,16.8,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,41.0,34.0,41.0,0.00,0.00,0.00,41.0,0.00,0.00,,0.00,,21.0,120.0,41.0,0.00,0.00,0.00,0.00,0.00,15.0,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,61.4,3.52,21.7,26.9,13.3,0.52,61.4,1.61,0.90,56.0,0.71,44.0,33.6,170.8,82.8,1.42,1.03,0.13,0.94,0.35,38.2,3.19,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,30.2,25.4,30.0,0.20,0.00,0.00,30.2,0.40,0.20,50.0,0.20,50.0,13.2,100.4,69.0,0.00,0.00,0.00,0.00,0.00,7.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,60.5,1.36,7.28,29.6,24.4,2.72,60.5,5.19,3.21,61.9,1.73,33.3,34.7,170.1,83.3,2.47,2.35,0.62,3.21,1.85,42.3,5.56,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,82.6,4.00,22.7,49.3,11.5,0.21,82.6,3.04,2.18,71.6,0.84,27.5,55.9,299.4,181.5,2.12,2.12,0.06,1.19,0.87,64.7,1.07,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,31.6,0.49,1.98,16.8,13.5,2.72,31.5,2.72,0.99,36.4,1.60,59.1,17.4,87.8,34.2,0.99,0.74,0.12,3.21,0.99,21.9,4.20,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,26.7,0.00,13.3,6.67,6.67,0.00,26.7,0.00,0.00,,0.00,,16.7,80.0,66.7,3.33,0.00,0.00,3.33,0.00,20.0,3.33,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,30.4,0.94,2.83,16.0,11.9,3.96,30.4,0.57,0.38,66.7,0.19,33.3,12.6,52.1,22.5,0.19,0.94,0.19,1.13,1.51,20.6,4.72,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,25.0,0.99,6.83,8.91,10.0,2.57,25.0,1.58,0.40,25.0,1.19,75.0,13.1,93.1,42.3,1.68,1.39,0.20,2.77,0.59,14.7,4.06,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,88.3,1.73,20.6,42.7,25.9,1.83,88.3,1.41,0.89,63.0,0.47,33.3,55.2,275.1,150.8,3.14,2.57,0.42,1.36,0.21,62.6,5.76,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,66.2,4.31,17.3,43.2,6.08,1.47,66.2,0.29,0.29,100.0,0.00,0.0,41.3,167.0,96.0,0.20,0.20,0.00,0.39,0.10,46.3,1.08,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,111.1,1.11,22.2,53.3,37.8,4.44,111.1,8.89,7.78,87.5,1.11,12.5,77.8,438.9,203.3,6.67,3.33,3.33,3.33,10.0,94.4,10.0,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,65.4,10.8,34.5,28.6,2.38,2.00,65.4,0.00,0.00,,0.00,,34.0,165.4,92.4,0.13,0.00,0.00,0.25,0.13,40.3,0.25,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,74.1,1.15,9.39,30.9,34.8,3.04,74.1,4.59,2.43,52.9,1.76,38.2,48.4,284.0,149.5,4.66,3.45,0.91,2.47,2.67,55.9,8.99,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,66.0,3.00,13.0,26.0,27.5,1.00,66.0,5.00,1.00,20.0,3.50,70.0,36.5,186.5,73.5,2.50,1.00,0.00,5.50,3.50,33.0,5.50,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,48.8,0.52,4.81,17.6,27.0,3.42,48.8,2.32,1.19,51.4,1.00,43.1,31.9,186.2,84.8,2.39,1.87,0.90,2.39,1.19,33.1,8.58,Matches,105132cd
