Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,0.12,0.00,0.00,0.74,0.95,0.04,2.55,0.62,0.91,0.04,0.00,0.00,5.43,0.58,1.19,32.6,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,0.18,0.00,0.00,1.38,0.28,0.00,0.03,1.65,0.40,0.00,0.00,0.03,4.95,2.57,1.65,60.9,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,0.54,0.00,0.00,1.08,1.35,1.22,1.49,0.14,0.68,0.14,0.00,0.00,2.43,1.35,2.16,38.5,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,0.00,0.00,0.00,0.98,1.71,0.00,4.88,0.24,0.00,,,0.00,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,0.77,0.00,0.00,1.98,2.53,0.00,1.76,1.10,1.32,0.00,0.00,0.00,6.70,0.77,1.10,41.2,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,0.32,0.00,0.00,0.76,1.01,0.06,0.06,1.71,0.95,0.06,0.06,0.00,5.44,2.22,1.65,57.4,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,0.25,0.00,0.00,1.72,2.30,0.00,0.90,0.82,0.82,0.00,0.00,0.00,4.59,1.31,1.48,47.1,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,0.40,0.00,0.00,3.00,2.80,0.50,1.50,0.50,0.90,0.10,0.00,0.00,3.70,1.00,2.50,28.6,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,0.39,0.00,0.00,1.94,0.70,0.08,0.00,1.55,1.40,0.00,0.00,0.00,5.50,1.09,0.93,53.8,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,0.34,0.00,0.00,1.03,2.07,0.00,6.55,1.03,2.07,0.00,0.00,0.00,5.17,0.00,0.34,0.0,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,0.36,0.04,0.04,0.85,0.89,0.04,0.24,1.54,0.36,0.00,0.00,0.00,3.93,1.38,1.05,56.7,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,0.29,0.00,0.00,2.65,1.18,0.88,0.59,0.00,1.18,0.00,0.00,0.00,1.47,0.00,1.47,0.0,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,0.10,0.00,0.00,1.46,0.68,0.00,0.24,1.51,1.27,0.00,0.00,0.00,4.73,1.56,1.12,58.2,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,0.43,0.00,0.00,1.11,3.08,0.51,5.30,0.43,0.43,0.00,0.00,0.00,4.96,0.51,0.68,42.9,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,0.12,0.00,0.00,1.76,1.52,0.79,0.61,0.06,0.18,0.00,0.00,0.00,1.58,1.58,4.85,24.5,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,0.00,0.00,0.00,1.67,2.50,0.00,0.00,0.83,0.83,0.00,0.00,0.00,5.00,2.50,2.50,50.0,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,0.07,0.03,0.00,1.41,2.00,0.07,1.00,0.93,1.24,0.00,0.00,0.00,5.21,2.14,1.93,52.5,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,0.29,0.00,0.00,1.48,2.48,0.24,5.57,0.76,0.81,0.00,0.00,0.00,4.76,0.29,0.86,25.0,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0.14,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.14,0.03,83.3,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,0.45,0.00,0.00,2.73,2.95,0.23,2.05,0.91,1.36,0.00,0.00,0.00,6.82,1.14,2.05,35.7,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,1.25,0.00,0.00,5.00,0.00,0.00,0.00,2.50,3.75,0.00,0.00,0.00,7.50,0.00,0.00,,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,0.00,0.00,0.00,0.67,0.67,0.00,0.00,0.00,0.67,0.00,0.00,0.00,4.00,2.67,6.00,30.8,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,0.05,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.82,0.37,0.00,100.0,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,0.18,0.00,0.00,1.02,2.46,0.06,1.44,0.42,1.14,0.00,0.00,0.00,4.61,0.42,1.98,17.5,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,0.30,0.00,0.00,1.50,1.10,0.20,5.10,1.10,2.10,0.00,0.00,0.00,4.40,0.70,0.80,46.7,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,0.40,0.00,0.00,0.68,1.41,0.00,0.11,1.07,1.19,0.00,0.00,0.00,5.59,0.90,0.51,64.0,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,8.75,1.25,1.25,50.0,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,0.20,0.10,0.00,1.22,1.33,0.00,0.31,1.33,0.71,0.00,0.00,0.00,5.71,1.53,0.82,65.2,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,0.28,0.00,0.00,1.19,0.37,0.09,0.00,1.65,0.83,,,0.09,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,0.15,0.00,0.00,1.06,0.25,0.00,0.10,0.86,1.01,0.00,0.00,0.00,3.54,1.67,1.11,60.0,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,0.16,0.00,0.00,1.61,1.56,0.00,3.39,0.43,0.54,0.00,0.00,0.00,4.95,0.48,0.70,40.9,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,0.26,0.00,0.00,1.84,0.39,0.00,0.13,1.18,1.71,0.00,0.00,0.00,7.24,0.79,0.53,60.0,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,0.03,0.00,0.00,0.00,0.19,0.00,0.00,0.06,0.03,0.00,0.00,0.00,0.90,0.16,0.00,100.0,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,0.28,0.00,0.00,0.89,2.39,0.12,6.23,0.85,0.97,0.08,0.00,0.00,5.71,0.28,0.77,26.9,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,0.58,0.00,0.00,3.27,1.05,0.00,0.66,0.78,2.02,0.00,0.08,0.00,7.98,1.13,0.62,64.4,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,0.46,0.00,0.00,2.41,1.48,0.09,1.20,1.02,0.74,0.00,0.00,0.00,6.57,1.57,1.76,47.2,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,0.36,0.10,0.05,1.34,2.01,0.62,1.29,0.57,0.52,0.00,0.00,0.00,5.26,1.34,1.91,41.3,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,0.13,0.13,0.00,1.14,1.27,0.00,0.00,1.52,1.39,0.00,0.13,0.00,6.71,1.77,1.01,63.6,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,2.50,0.00,0.00,2.50,5.00,0.00,2.50,0.00,2.50,2.50,0.00,0.00,5.00,0.00,0.00,,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,0.00,0.00,0.00,3.33,3.33,0.00,3.33,6.67,6.67,0.00,0.00,0.00,3.33,3.33,0.00,100.0,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,0.06,0.00,0.00,0.83,0.77,0.00,0.39,1.44,0.99,0.00,0.00,0.00,6.41,1.99,1.77,52.9,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,0.13,0.00,0.00,2.00,0.67,0.00,1.07,0.40,0.67,0.00,0.00,0.00,3.60,1.73,1.87,48.1,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,0.71,0.00,0.00,1.43,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.71,2.14,2.86,42.9,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,0.07,0.00,0.00,0.58,0.18,0.07,0.84,1.02,1.05,0.00,0.00,0.04,5.96,0.62,0.65,48.6,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,0.10,0.10,0.00,0.10,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.58,0.00,100.0,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0.00,0.00,0.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.0,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,0.08,0.00,0.00,1.89,1.09,0.00,0.34,1.85,2.44,0.00,0.00,0.00,6.81,0.71,0.67,51.5,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,0.15,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.85,0.31,0.08,80.0,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,0.36,0.00,0.00,1.57,1.33,0.00,1.33,2.05,1.08,0.00,0.12,0.00,4.94,2.05,0.72,73.9,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,0.21,0.00,0.00,0.39,1.09,0.03,0.00,1.48,0.52,0.03,0.00,0.00,3.70,2.42,1.76,58.0,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,0.91,0.00,0.00,0.91,3.64,0.00,0.00,2.73,2.73,0.00,0.00,0.00,3.64,0.00,1.82,0.0,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,0.12,0.00,0.00,0.71,2.02,0.36,2.38,0.12,0.71,0.00,0.00,0.00,4.40,0.60,0.83,41.7,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,0.70,0.00,0.00,3.49,1.40,0.35,0.35,0.00,0.35,0.00,0.00,0.00,2.91,4.30,4.88,46.8,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,0.60,0.00,0.00,3.88,2.24,0.00,1.49,1.94,1.34,0.00,0.00,0.00,7.91,0.60,1.64,26.7,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,0.94,0.00,0.00,3.13,1.25,0.00,1.25,1.88,2.50,0.00,0.00,0.00,5.00,0.31,1.56,16.7,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,0.33,0.00,0.00,1.07,1.33,0.13,0.67,0.40,0.47,0.07,0.00,0.00,2.93,2.53,3.33,43.2,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,0.13,0.00,0.00,1.65,0.89,0.00,0.89,0.38,1.39,0.00,0.00,0.00,4.30,1.65,1.65,50.0,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,0.11,0.00,0.00,1.30,1.90,0.38,0.33,0.00,0.33,0.05,0.00,0.00,1.96,3.59,3.53,50.4,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,0.25,0.00,0.00,1.09,1.67,0.00,2.18,0.33,0.80,0.04,0.00,0.00,4.55,0.33,0.91,26.5,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,0.91,0.00,0.00,0.00,0.91,0.00,0.91,1.82,0.00,0.00,0.00,0.00,3.64,2.73,0.91,75.0,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,0.65,0.00,0.00,1.29,1.29,0.00,0.32,0.65,1.29,0.00,0.00,0.00,9.03,0.00,1.29,0.0,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,0.15,0.00,0.00,1.54,0.74,0.07,0.07,1.62,0.29,0.00,0.00,0.07,4.26,1.40,0.81,63.3,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,0.00,0.00,0.00,0.00,2.50,2.50,2.50,2.50,5.00,0.00,0.00,0.00,5.00,0.00,0.00,,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,0.09,0.00,0.00,1.28,0.97,0.18,7.84,0.66,0.75,0.00,0.00,0.00,5.77,0.97,1.10,46.8,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,0.07,0.07,0.00,1.31,0.14,0.07,0.21,1.10,0.28,0.00,0.00,0.00,3.52,2.28,1.45,61.1,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,0.66,0.00,0.00,3.11,2.13,0.00,0.98,0.82,0.66,0.00,0.00,0.00,5.74,0.82,1.15,41.7,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,0.18,0.00,0.00,0.57,0.31,0.13,0.00,1.28,0.57,0.00,0.04,0.00,5.11,2.73,1.06,72.1,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,0.61,0.00,0.00,2.73,1.21,0.30,1.82,0.30,0.61,0.30,0.00,0.00,2.12,1.52,3.03,33.3,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,0.00,0.00,0.00,0.00,2.50,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,2.50,0.0,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,0.40,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.20,0.0,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,0.00,0.00,0.00,2.00,2.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,6.00,3.00,3.00,50.0,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,0.18,0.00,0.00,1.75,2.89,0.00,1.27,1.39,1.27,0.00,0.00,0.00,5.66,0.54,0.78,40.9,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,0.22,0.04,0.04,1.53,1.22,0.13,2.79,0.79,0.57,0.00,0.00,0.00,5.11,1.40,0.96,59.3,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,0.00,0.00,0.00,0.77,1.54,0.00,0.77,0.77,0.00,0.00,0.77,0.00,3.85,0.00,0.77,0.0,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,0.38,0.00,0.00,2.58,2.34,0.00,0.53,1.24,2.44,0.00,0.00,0.00,6.22,0.62,0.86,41.9,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,0.30,0.00,0.00,1.03,0.63,0.23,0.40,1.60,0.70,0.00,0.03,0.00,4.87,3.43,2.37,59.2,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,0.38,0.00,0.00,3.52,1.71,0.95,0.57,0.38,0.76,0.00,0.00,0.00,2.86,0.76,2.57,22.9,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,0.37,0.00,0.00,1.48,1.30,0.37,4.07,0.37,0.56,0.00,0.00,0.00,4.26,2.04,2.22,47.8,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,16.7,0.00,0.00,,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,0.44,0.00,0.00,1.33,1.78,0.00,1.33,0.22,0.67,0.00,0.00,0.00,3.78,1.78,1.33,57.1,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,0.45,0.00,0.00,1.36,0.57,0.34,9.66,1.70,1.02,0.00,0.00,0.00,4.09,0.80,1.14,41.2,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,0.21,0.00,0.00,0.60,1.98,0.35,0.95,0.11,0.11,0.00,0.00,0.00,3.04,1.17,1.24,48.5,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,0.42,0.00,0.00,2.29,1.67,0.42,0.42,0.21,0.00,0.00,0.00,0.00,3.75,3.96,4.58,46.3,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,0.05,0.00,0.00,1.02,1.18,0.05,4.19,1.45,1.88,0.00,0.00,0.00,4.78,0.75,1.13,40.0,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,0.16,0.00,0.00,0.63,0.94,0.16,1.41,0.47,0.31,0.00,0.00,0.00,3.59,0.31,0.63,33.3,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,10.0,6.67,0.00,100.0,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,0.47,0.00,0.00,1.63,2.79,0.00,3.26,0.93,2.09,0.00,0.00,0.00,4.88,0.93,1.63,36.4,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,0.00,0.00,0.00,2.50,1.67,0.00,0.00,0.42,0.83,0.00,0.42,0.00,3.33,4.58,3.33,57.9,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,0.91,0.00,0.00,2.73,0.91,0.00,0.00,1.82,0.00,0.00,0.00,0.00,4.55,0.00,0.00,,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,0.17,0.00,0.00,0.59,0.08,0.08,0.17,0.76,0.59,0.00,0.00,0.00,3.19,1.34,1.18,53.3,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,0.52,0.07,0.00,1.83,2.16,0.39,4.58,1.44,0.65,0.07,0.00,0.00,3.53,1.18,1.24,48.6,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,0.45,0.00,0.00,0.45,0.23,0.00,2.95,2.05,2.95,0.00,0.00,0.00,3.86,0.45,0.23,66.7,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,0.31,0.08,0.00,0.87,0.31,0.00,0.08,1.81,0.47,0.00,0.00,0.00,4.65,1.26,1.50,45.7,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,0.42,0.00,0.00,1.89,1.11,0.21,3.63,1.00,0.79,0.00,0.00,0.00,5.68,0.47,0.89,34.6,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,0.28,0.06,0.00,0.84,0.28,0.06,0.17,1.17,0.67,0.00,0.11,0.06,3.91,1.17,1.34,46.7,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,0.00,0.09,0.00,1.31,0.93,0.00,2.52,1.50,1.78,0.00,0.00,0.00,5.33,1.03,0.93,52.4,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,0.44,0.00,0.00,1.62,2.94,1.18,1.62,0.59,1.18,0.00,0.00,0.00,4.12,1.91,1.62,54.2,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,0.00,0.00,0.00,1.32,0.00,0.00,0.00,1.32,0.79,0.00,0.00,0.00,2.89,3.42,0.53,86.7,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,0.34,0.00,0.00,1.38,1.03,0.69,2.07,1.03,0.34,0.00,0.00,0.00,5.86,0.69,0.00,100.0,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,0.00,0.00,0.00,1.54,1.79,0.17,1.79,0.77,1.62,0.00,0.00,0.00,5.47,1.62,2.31,41.3,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,0.18,0.00,0.00,1.98,0.78,0.18,5.63,0.66,1.62,0.00,0.06,0.00,7.78,1.14,1.02,52.8,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,0.27,0.00,0.00,0.82,0.86,0.00,0.12,1.64,0.94,0.00,0.00,0.00,4.80,2.73,1.48,64.8,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,0.34,0.00,0.00,2.32,2.66,1.02,4.58,0.51,1.19,0.06,0.00,0.00,3.45,1.47,1.47,50.0,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,0.07,0.00,0.00,1.12,0.72,0.07,1.12,0.66,1.05,0.00,0.00,0.00,6.58,0.86,0.59,59.1,Matches,eadc7b45
292,Nicolás Hernández,co COL,DF,Atl Paranaense,24,1998,18.0,0.17,0.00,0.00,1.00,0.28,0.00,0.06,1.22,0.94,0.00,0.00,0.06,3.89,0.94,1.44,39.5,Matches,86046c18
293,Hugo,br BRA,DFMF,Goiás,24,1997,7.8,0.38,0.00,0.00,1.41,0.77,0.13,2.82,1.41,1.41,0.00,0.00,0.00,6.28,2.18,1.28,63.0,Matches,bd2593f3
294,Hugo,br BRA,DFMF,Botafogo (RJ),20,2001,12.2,0.25,0.08,0.00,1.48,0.98,0.00,2.87,1.64,1.56,0.00,0.00,0.00,4.67,1.07,1.15,48.1,Matches,de3dc682
295,José Hugo,br BRA,FWMF,Coritiba,22,1999,4.4,0.00,0.00,0.00,1.36,3.41,0.23,2.05,0.23,1.14,0.00,0.00,0.00,5.91,2.05,1.36,60.0,Matches,d0f01217
296,Victor Hugo,br BRA,MF,Flamengo,17,2004,13.9,0.07,0.00,0.00,0.50,0.94,0.07,1.01,0.79,0.79,0.00,0.00,0.00,4.39,1.22,2.52,32.7,Matches,33fca7f7
297,Vitor Hugo,br BRA,FW,Goiás,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,217f53a6
298,Hulk,br BRA,FW,Atlético Mineiro,35,1986,23.2,0.26,0.00,0.00,1.51,2.54,0.65,1.85,0.13,0.26,0.00,0.00,0.00,2.11,0.73,1.81,28.8,Matches,33a1f72e
299,José Hurtado,ec ECU,DF,Bragantino,20,2001,6.6,0.15,0.00,0.00,1.21,0.61,0.15,5.00,0.76,1.67,0.00,0.15,0.00,4.70,1.67,1.67,50.0,Matches,cb067e96
300,Hyoran,br BRA,MF,Bragantino,28,1993,14.2,0.07,0.00,0.00,1.20,0.99,0.07,5.28,0.70,1.13,0.00,0.00,0.00,4.23,0.49,0.85,36.8,Matches,ffb88c28
301,Igor,br BRA,MFFW,Flamengo,18,2003,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,fb19d550
302,André Inácio,br BRA,FW,Flamengo,19,2002,0.5,0.00,0.00,0.00,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,12.0,2.00,0.00,100.0,Matches,cc77d69c
303,Mauricio Isla,cl CHI,DF,Flamengo,33,1988,3.8,0.00,0.00,0.00,0.79,0.53,0.00,3.42,1.58,0.79,0.00,0.26,0.00,5.00,1.84,2.11,46.7,Matches,de4517dd
304,Jadsom,br BRA,MF,Bragantino,20,2001,14.1,0.50,0.00,0.00,1.91,0.64,0.00,0.21,2.41,1.28,0.00,0.00,0.00,6.95,0.43,0.50,46.2,Matches,92859e80
305,Jadson,br BRA,MF,Juventude,28,1993,29.1,0.31,0.03,0.00,1.34,1.72,0.03,1.07,0.82,1.58,0.00,0.00,0.00,6.22,0.24,0.62,28.0,Matches,05748af4
306,Jailson,br BRA,GK,América (MG),40,1981,12.0,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,,Matches,01f7b8c3
307,Jair,br BRA,MF,Atlético Mineiro,27,1994,23.0,0.22,0.00,0.00,2.00,1.35,0.00,0.52,1.39,1.78,0.00,0.04,0.00,5.52,1.43,0.96,60.0,Matches,f3466edc
308,Jandrei,br BRA,GK,São Paulo,28,1993,18.3,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1.37,0.49,0.00,100.0,Matches,85ea4399
309,Vinícius Jaú,br BRA,MF,Avaí,23,1998,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,100.0,Matches,192d3898
