Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
336,Kawê,br BRA,MFFW,América (MG),19,2002,0.3,0.00,0.00,0.00,6.67,3.33,3.33,3.33,0.00,0.00,0.00,0.00,0.00,10.0,0.00,10.0,0.0,Matches,f1bca9ec
337,Kayque,br BRA,MF,Botafogo (RJ),21,2000,3.1,0.97,0.00,0.00,2.58,3.55,0.32,0.65,0.65,1.61,0.00,0.00,0.00,7.10,0.97,1.61,37.5,Matches,54b980d6
338,Renato Kayser,br BRA,FW,Fortaleza,25,1996,1.8,0.00,0.00,0.00,1.67,1.67,0.00,0.56,0.00,0.00,0.00,0.00,0.00,4.44,0.56,2.22,20.0,Matches,c7495dda
339,Gabriel Kazu,br BRA,MF,Avaí,22,1999,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,42430d76
340,Keiller,br BRA,GK,Internacional,25,1996,15.0,0.13,0.00,0.00,0.07,0.40,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.33,0.53,0.00,100.0,Matches,e38fde76
341,Thalisson Kelven,br BRA,DF,Juventude,23,1998,20.0,0.15,0.00,0.00,0.85,0.35,0.00,0.00,1.55,0.65,0.00,0.00,0.05,3.20,2.00,1.95,50.6,Matches,18e87471
342,Kelvi,br BRA,MF,Juventude,19,2002,0.5,0.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,,Matches,33143d85
343,Kelvin,br BRA,MFFW,Atl Goianiense,24,1997,3.4,0.00,0.00,0.00,0.00,1.18,0.29,5.88,0.29,0.88,0.00,0.00,0.00,3.82,0.59,2.35,20.0,Matches,b8dab818
344,Kelvyn,br BRA,FWDF,Ceará,22,1999,0.6,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,1.67,0.00,0.00,0.00,5.00,0.00,0.00,,Matches,8b992778
345,John Kennedy,br BRA,FWMF,Fluminense,19,2002,1.6,1.88,0.00,0.00,3.13,0.63,0.00,0.63,0.63,0.00,0.00,0.00,0.00,0.63,1.88,5.00,27.3,Matches,132880e0
346,Keno,br BRA,FWMF,Atlético Mineiro,32,1989,20.6,0.24,0.00,0.00,1.02,1.46,0.34,4.90,0.15,0.97,0.00,0.00,0.00,3.74,0.63,0.53,54.2,Matches,98558c11
347,Kevin,br BRA,DF,Avaí,24,1997,29.2,0.10,0.00,0.00,1.16,0.68,0.10,6.30,1.27,1.37,0.00,0.00,0.00,6.34,1.10,0.86,56.1,Matches,1f07666f
348,Khellven,br BRA,DF,Atl Paranaense,20,2001,23.4,0.04,0.00,0.00,1.54,0.90,0.00,5.85,1.67,1.07,0.00,0.04,0.00,4.44,0.51,0.85,37.5,Matches,cf18ab1b
349,Willian Klaus,br BRA,DF,Atl Goianiense,28,1994,6.0,0.17,0.00,0.00,1.00,0.33,0.17,0.00,1.33,0.50,0.00,0.00,0.00,3.00,3.00,1.33,69.2,Matches,ddc86898
350,Willian Klaus,br BRA,DF,Botafogo (RJ),28,1994,1.0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,100.0,Matches,ddc86898
351,Benjamín Kuscevic,cl CHI,DF,Palmeiras,25,1996,3.3,0.30,0.00,0.00,0.00,0.91,0.30,0.00,2.73,1.21,0.00,0.00,0.00,3.03,3.03,1.52,66.7,Matches,9edddc34
352,Gabriel Lacerda,br BRA,DF,Ceará,22,1999,20.0,0.20,0.00,0.00,0.70,0.15,0.00,0.30,1.05,0.70,0.00,0.05,0.00,4.55,2.45,1.55,61.3,Matches,0664b5a6
353,Anthony Landazuri,ec ECU,DF,Fortaleza,24,1997,5.8,0.17,0.00,0.00,2.59,1.03,0.00,0.86,1.38,0.69,0.17,0.00,0.00,5.17,1.03,1.55,40.0,Matches,b3a267f0
354,Thauan Lara,br BRA,DFFW,Internacional,18,2004,3.8,0.53,0.00,0.00,1.58,1.58,0.00,1.32,1.05,1.58,0.00,0.00,0.00,3.42,1.32,1.32,50.0,Matches,c4dba1f3
355,Lázaro,br BRA,FWMF,Flamengo,19,2002,9.1,0.22,0.00,0.00,1.87,1.87,0.33,2.53,0.33,0.77,0.00,0.00,0.00,3.63,1.21,1.76,40.7,Matches,86ff856b
356,Anderson Leite,br BRA,MF,Juventude,28,1993,0.8,0.00,0.00,0.00,3.75,1.25,0.00,1.25,5.00,1.25,0.00,0.00,0.00,6.25,1.25,0.00,100.0,Matches,9981c92d
357,Vinícius Leite,br BRA,MF,Avaí,28,1993,1.5,0.00,0.00,0.00,0.67,1.33,0.00,3.33,4.00,1.33,0.00,0.00,0.00,6.67,0.00,4.00,0.0,Matches,e991fbd7
