Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,3.22,3.22,2.01,0.62,0.19,0.12,0.22,0.06,0.25,0.25,0.22,0.00,0.00,0.03,0.00,0.00,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,2.73,2.72,1.27,1.27,0.00,0.18,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.00,0.00,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,2.61,2.62,2.17,0.00,0.06,0.13,0.13,0.13,0.13,0.13,0.06,0.00,0.00,0.06,0.00,0.00,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,1.86,1.86,1.40,0.16,0.00,0.08,0.08,0.16,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,0.98,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.24,0.25,0.24,0.00,0.00,0.00,0.00,0.00,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,2.76,2.77,2.41,0.34,0.00,0.00,0.00,0.00,0.69,0.69,0.69,0.00,0.00,0.00,0.00,0.00,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,2.04,2.02,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,2.37,2.38,1.45,0.39,0.13,0.26,0.00,0.13,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,0.57,0.57,0.49,0.03,0.00,0.06,0.00,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,3.10,3.11,1.90,0.00,0.17,0.52,0.52,0.00,0.34,0.35,0.17,0.00,0.00,0.00,0.17,0.00,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,2.00,2.14,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3c48a088
